tweet_id	tweet_date	tweet_text
837180703292846080	2017-03-02 06:00:08	Coal comfort: Pacific islands on collision course with Australia over emissions https://t.co/B41QyEnAqz via @ConversationEDU #climatechange https://t.co/v3BkrGmE2W
837180597432795136	2017-03-02 05:59:43	#ClimateChange Still Kills More People Worldwide Than Terrorism: https://t.co/WkSzwYKIMO #ActOnClimate #cdnpoli #NoDAPL #NoKXL #WaterIsLife https://t.co/6G9HzAlbgN
837180564578918400	2017-03-02 05:59:35	What does it feel like to stand at the forefront of #climatechange? https://t.co/yq8ZfkA5Av https://t.co/ec5Pf9wlGz
837180455506046977	2017-03-02 05:59:09	https://t.co/cyTpTaFCbR R.I. Senator: Donald Trump Was ‘Childish’ To Ignore Climate Change In His Big Speech #climate #policy https://t.co/yLQaB0bNwd
837180454918737920	2017-03-02 05:59:09	Beautiful and Functional https://t.co/nV0mlq4M3g #luc8k #ttot #sustainability #oodt #wiw
837180437176926208	2017-03-02 05:59:04	It's 64 degrees in Antarctica. Yes, that is an all-time record. #ClimateChange #ClimateAction https://t.co/CwaE3xUfDJ
837180426129047553	2017-03-02 05:59:02	Chicago breaks surprising 146-year-old weather record | @afreedma @mashable https://t.co/J0HWKSvBCm #climate #ActOnClimate https://t.co/kHWnR0P1Wb
837180411432206336	2017-03-02 05:58:58	@USTermLimits I'd rather talk about #climatechange, #economicinequality, #racism, and #moneyinpolitics
837180340573630464	2017-03-02 05:58:41	Coal comfort: Pacific islands on collision course with Australia over emissions https://t.co/B41QyEnAqz via @ConversationEDU #climatechange https://t.co/v3BkrGmE2W
837180314728292352	2017-03-02 05:58:35	The last time humans experienced atmospheric CO2 levels as high as they are now was... never. Humans didn't exist. #climate #climatechange https://t.co/Cm6Iy2BdaF
837180281375211520	2017-03-02 05:58:27	@patagonia CEO Rose Marcario’s Battle Plan for Protecting the Great #Outdoors https://t.co/UdWgG32joD #future #ClimateChange #nature
837180199452041216	2017-03-02 05:58:08	Final numbers in for #winter (Dec, Jan, Feb)! #Phoenix had the 9th warmest winter on record. #abc15wx #azwx via @ClimateCentral #climate https://t.co/qpuLBAFCdj
837180193806532608	2017-03-02 05:58:06	https://t.co/MREmo8zoU1 Republican Issa joins bipartisan House caucus on climate change #climate #tcot #policy https://t.co/p177f1DQA7
837180192720318472	2017-03-02 05:58:06	The latest デイリー uemura mayumi! https://t.co/N1DzLqEx7u #森友学園 #climatechange
837180189431848960	2017-03-02 05:58:05	The last time humans experienced atmospheric CO2 levels as high as they are now was... never. Humans didn't exist. #climate #climatechange https://t.co/Cm6Iy2BdaF
837180118552412160	2017-03-02 05:57:48	German Chancellor Angela Merkel recognises importance of global #mentalhealth and #SDGs at meeting in Berlin https://t.co/jodlfjIedb
