created_at,id_str,text,truncated,geo,coordinates,place,retweet_count,favourite_count,in_reply_to_status_id_str,in_reply_to_user_id_str,lang
Mon Jun 25 07:03:00 +0000 2018,1011142699615858688,She went through female genital mutilation. She was forced to marry at 15. Now she's speaking out for girls who face violence. Meet our Goodwill Ambassador @JahaENDFGM: https://t.co/okQQMwq8GY https://t.co/uhYLwaN0ae,True,,,,329,,,,en
Mon Jun 25 04:35:06 +0000 2018,1011105480062787584,"We taught them advocacy skills. Now Dilera &amp; her peers raise awareness on women’s unequal burden to provide water for their homes in Chek-Abad village:
https://t.co/Gr8wHPOJvy",True,,,,22,,,,en
Mon Jun 25 01:35:06 +0000 2018,1011060179792777216,"What does feminism have to do with #pride?

FEMINISM = https://t.co/IyuXMp8Zqr",False,,,,405,,,,en
Sun Jun 24 22:35:06 +0000 2018,1011014882270031873,"All people have an equal right to live free from violence, persecution, discrimination and stigma.

Join us as we stand in solidarity with the LGBTQI community! #Pride https://t.co/7qxgqcjBoo",True,,,,271,,,,en
Sun Jun 24 19:35:07 +0000 2018,1010969587058462721,"Let us reject binary definitions of gender, and recognize all forms of gender identity &amp; expression.
❤️🧡💛💚💙💜 
We demand equal rights for ALL! #Pride https://t.co/5kzsvg79Je",True,,,,139,,,,en
Sun Jun 24 16:35:08 +0000 2018,1010924293251792897,"We celebrate diversity, inclusion &amp; intersectionality, so that no one is left behind &amp; every person enjoys the right to live as their true self.

Are you with us? #PRIDE https://t.co/RLmdaFNfhs",True,,,,381,,,,en
Sun Jun 24 13:35:08 +0000 2018,1010878994093395971,"You know Ronaldo.
You know Messi.
You know Neymar.

Do you know who scored more goals, but got paid much, much less? Abby Wambach: https://t.co/tolHcIVCeK #WorldCup https://t.co/mDGRst60e8",True,,,,415,,,,en
Sun Jun 24 10:35:05 +0000 2018,1010833683916484608,"Happy #Pride!
❤️🧡💛💚💙💜
Whoever you are, however you define yourself, wherever you come from, we're with you, to fight whatever challenges you may face &amp; #StandUp4HumanRights. https://t.co/fIbE3kNEWr",True,,,,682,,,,en
Sun Jun 24 07:35:05 +0000 2018,1010788384619597824,"Have you ever seen women's #WorldCup get as much attention?

#WomenInSport still have fewer opportunities to play sports &amp; are paid much, much less than male athletes. https://t.co/u6YZz5mD1L",True,,,,190,,,,en
Sun Jun 24 06:35:02 +0000 2018,1010773275708968960,"It's been a long road, but women in Saudi Arabia finally get to drive 🚗 https://t.co/9k81Yjyp44 v @CNN",False,,,,224,,,,en
